x,y,sensor
-0.46892645882133555,-6.070531586874459,ds1
-3.3738147630501474,-8.039458080455722,ds2
-0.9554097825799901,-10.494867897795638,ds3
1.5000000347599265,-10.390662775762536,ds4
3.474991785166369,-10.014449830862166,ds5
3.4750000034789443,-8.039458080455722,ds6
3.4750072602654942,-6.064450854950155,ds7
1.499999962870916,-6.700258096708724,ds0
0.18178906880198475,-6.700258260608134,ds1
-3.3738229571829086,-8.018469154677065,ds2
-1.6110687164847752,-11.129537834032757,ds3
1.4999999628709155,-10.392823554081826,ds4
3.4749916668540086,-9.993460858660159,ds5
3.4750000077372496,-8.018469154677065,ds6
2.818211175781597,-6.700257941766385,ds7
-0.4290968229657477,-6.0699943019567035,ds1
-3.373829655869551,-7.999091018158628,ds2
-1.626410024139533,-11.125500935534339,ds3
1.4999998932361773,-10.389293527824034,ds4
3.4749917676271838,-9.974082892549635,ds5
3.475000000130368,-7.99909101815863,ds6
3.4750072711075104,-6.024083640287298,ds7
-0.40985570611354416,-6.0699793607107155,ds1
-3.3738370336776455,-7.979834890974962,ds2
-1.6456624836077107,-11.125497198733374,ds3
1.4999998241507024,-10.38928842281693,ds4
3.4749916203733733,-9.954826687197635,ds5
3.4750000001966797,-7.9798348909749635,ds6
3.4750074184944544,-6.004827296631212,ds7
-0.39067007497086315,-6.069985020367191,ds1
-3.3738443886832163,-7.960654849944587,ds2
-1.6648435618509565,-11.125498166402076,ds3
1.4999997546065333,-10.389290253325578,ds4
3.474991529886439,-9.935646625224493,ds5
3.475000000226645,-7.960654849944588,ds6
3.4750075090416397,-5.985647095509482,ds7
-0.3714652439938393,-6.069983180535779,ds1
-3.373851751922613,-7.941448108733434,ds2
-1.6840498338456478,-11.125497626782899,ds3
1.499999684203816,-10.389289688491584,ds4
3.4749914504457156,-9.916439874975335,ds5
3.4750000002230808,-7.941448108733436,ds6
3.475007588475526,-5.966440204461726,ds7
-0.3522670548059641,-6.069983910147295,ds1
-3.373859112339421,-7.922250578031855,ds2
-1.6770032268265689,-11.099253417937021,ds3
1.4999996130785969,-10.389289967905816,ds4
3.474991376276411,-9.89724234122967,ds5
3.4750000002220567,-7.922250578031857,ds6
3.4750076626430637,-5.947242528467391,ds7
-0.3330665681562279,-6.06998375486445,ds1
-3.37386647373474,-7.9030498641747275,ds2
-1.6770033472570782,-11.080052752585857,ds3
1.4999995411540499,-10.38928996127579,ds4
3.4749913012377087,-9.878041624258387,ds5
3.475000000218118,-7.903049864174729,ds6
3.4750077376741846,-5.928041667654595,ds7
-0.3138668818694925,-6.069983899667815,ds1
-3.373873834781386,-7.8838502499887655,ds2
-1.6770034783277994,-11.060853196768024,ds3
1.4999994684514582,-10.389290052915532,ds4
3.4749912195865535,-9.858842001123863,ds5
3.4750000002193895,-7.883850249988767,ds6
3.4750078193282214,-5.908841899112004,ds7
-0.2946669265785544,-6.069983934317992,ds1
-3.3738811959326758,-7.864650255875259,ds2
-1.694747549865156,-11.059397200719129,ds3
1.4999993949787127,-10.389290110965787,ds4
3.4749911305137187,-9.839641991410266,ds5
3.475000000225566,-7.864650255875261,ds6
3.4750079084137946,-5.88964174244018,ds7
-0.27546706780235675,-6.069984004475464,ds1
-3.373888557039324,-7.845450393024496,ds2
-1.7139473385381236,-11.059397052309295,ds3
1.499999320746675,-10.389290180516841,ds4
3.474991038780516,-9.820442111058338,ds5
3.475000000233579,-7.845450393024498,ds6
3.47500800016344,-5.870441713607734,ds7
-0.2562671718949614,-6.069984067180249,ds1
-3.3738959181664985,-7.826250484817532,ds2
-1.799247176070853,-11.125496906630708,ds3
1.4999992457423221,-10.389290246132452,ds4
3.4749909506562267,-9.801242189731438,ds5
3.4750000002383334,-7.826250484817534,ds6
3.475008088297651,-5.851241642262206,ds7
-0.23706728113806896,-6.069984141206729,ds1
-3.3739032792999355,-7.80705059228119,ds2
-1.787721960477327,-11.09477172269491,ds3
1.4999991699363924,-10.389290313094678,ds4
3.4749908685694733,-9.782042290914273,ds5
3.4750000002377024,-7.8070505922811915,ds6
3.47500817038354,-5.832041591834044,ds7
-0.2299927853298802,-6.057858815705723,ds1
-3.3739106404404495,-7.787850694335415,ds2
-1.7877220733036552,-11.075571860938881,ds3
1.4999990932998117,-10.38929037959655,ds4
3.474990789031856,-9.76284239006746,ds5
3.4750000002341093,-7.787850694335416,ds6
3.4750082499143633,-5.812841537720866,ds7
-0.2299927122534613,-6.0386590701803,ds1
-3.3739180015747707,-7.768650798255383,ds2
-1.787722192613189,-11.056372006690193,ds3
1.4999990158216212,-10.38929044625572,ds4
3.4749907056005354,-9.743642488034299,ds5
3.4750000002325425,-7.7686507982553845,ds6
3.4750083333429815,-5.793641480734024,ds7
-0.22999264540656794,-6.019459318612687,ds1
-3.3739253626966716,-7.749450901530057,ds2
-1.7877223249313574,-11.037172163972217,ds3
1.4999989375108025,-10.389290512861194,ds4
3.4749906143569356,-9.724442578376191,ds5
3.4750000002362853,-7.749450901530059,ds6
3.475008424594557,-5.774441414446304,ds7
-0.22999256004486068,-6.000259586606805,ds1
-3.3739327238088626,-7.730251005032903,ds2
-1.7877224670369867,-11.017972330451126,ds3
1.4999988583812376,-10.389290579485634,ds4
3.4749905172355673,-9.705242663887233,ds5
3.4750000002441235,-7.730251005032905,ds6
3.475008521732144,-5.755241341681999,ds7
-0.2299924749066804,-5.981059855115059,ds1
-3.3739400849218533,-7.711051108454093,ds2
-1.7877226087195637,-10.998772495606012,ds3
1.4999987784323539,-10.389290646103422,ds4
3.474990420368102,-9.686042750389843,ds5
3.475000000251381,-7.711051108454095,ds6
3.475008618614679,-5.73604126827177,ds7
-0.22999239446517095,-5.961860119791448,ds1
-3.3739474460445873,-7.691851211898638,ds2
-1.7877227414899448,-10.979572651030603,ds3
1.4999986976420197,-10.38929071272304,ds4
3.4749903288523827,-9.666842843109002,ds5
3.475000000253895,-7.69185121189864,ds6
3.475008710135975,-5.716841199404685,ds7
-0.22999231846992485,-5.9426603808917715,ds1
-3.373954807176947,-7.672651315339412,ds2
-1.7877228658242952,-10.960372797141423,ds3
1.4999986159777159,-10.389290779342303,ds4
3.474990242402325,-9.647642941764023,ds5
3.4750000002515753,-7.672651315339413,ds6
3.475008796581918,-5.697641134735212,ds7
-0.22999224215240255,-5.923460643214015,ds1
-3.3739621683098187,-7.653451418782883,ds2
-1.7877229907734749,-10.941172942972823,ds3
